tempo,deslocamento,velocidade,aceleracao
0.34600000000000003,0.09731635651764967,0.5681390195384144,1.5990847874461884
0.34700000000000003,0.09788529486607389,0.5697374634536915,1.5978016491361464
0.34800000000000003,0.09845583101545065,0.5713346200502762,1.5965101515957703
0.34900000000000003,0.09902796367428317,0.5729304809735467,1.5952103040475583
0.35000000000000003,0.09960169154272468,0.5745250378781208,1.593902115748885
0.35100000000000003,0.10017701331258765,0.5761182824278913,1.5925855959919493
0.352,0.1007539276673531,0.5777102062960606,1.5912607541037247
0.353,0.10133243328217992,0.5793008011651753,1.5899275994459077
0.354,0.10191252882391424,0.5808900587271612,1.5885861414148648
0.355,0.10249421295109883,0.5824779706833574,1.5872363894415844
0.356,0.10307748431398246,0.5840645287445517,1.5858783529916214
0.357,0.10366234155452951,0.5856497246310147,1.5845120415650487
0.358,0.10424878330642934,0.5872335500725342,1.5831374646964016
0.359,0.10483680819510588,0.5888159968084495,1.581754631954631
0.36,0.10542641483772718,0.5903970565876865,1.5803635529430455
0.361,0.10601760184321503,0.5919767211687912,1.5789642372992638
0.362,0.10661036781225461,0.5935549823199646,1.5775566946951594
0.363,0.10720471133730411,0.5951318318190965,1.5761409348368083
0.364,0.1078006310026045,0.5967072614537999,1.5747169674644375
0.365,0.10839812538418919,0.5982812630214452,1.5732848023523718
0.366,0.10899719304989391,0.599853828329194,1.5718444493089803
0.367,0.10959783255936643,0.6014249491940332,1.5703959181766227
0.368,0.11020004246407646,0.6029946174428094,1.5689392188315983
0.369,0.11080382130732544,0.604562824912262,1.5674743611840896
0.37,0.11140916762425658,0.6061295634490578,1.5660013551781118
0.371,0.1120160799418647,0.6076948249098244,1.5645202107914564
0.372,0.11262455677900625,0.609258601161184,1.5630309380356389
0.373,0.11323459664640931,0.6108208840797874,1.5615335469558453
0.374,0.11384619804668364,0.6123816655523471,1.5600280476308774
0.375,0.11445935947433075,0.6139409374756712,1.558514450173097
0.376,0.11507407941575404,0.6154986917566974,1.5569927647283754
0.377,0.1156903563492689,0.6170549203125252,1.5554630014760342
0.378,0.11630818874511294,0.6186096150704508,1.5539251706287958
0.379,0.11692757506545616,0.6201627679679995,1.552379282432724
0.38,0.11754851376441122,0.6217143709529594,1.550825347167172
0.381,0.11817100328804372,0.6232644159834146,1.5492633751447267
0.382,0.1187950420743825,0.6248128950277783,1.5476933767111536
0.383,0.11942062855343,0.626359800064826,1.5461153622453407
0.384,0.1200477611471726,0.6279051230837286,1.5445293421592443
0.385,0.1206764382695911,0.6294488560840857,1.5429353268978339
0.386,0.12130665832667109,0.6309909910759582,1.5413333269390332
0.387,0.12193841971641352,0.6325315200799013,1.53972335279367
0.388,0.1225717208288451,0.6340704351269977,1.5381054150054152
0.389,0.12320656004602892,0.6356077282588898,1.5364795241507283
0.39,0.12384293574207503,0.6371433915278131,1.5348456908388033
0.391,0.124480846283151,0.6386774169966286,1.5332039257115089
0.392,0.12512029002749256,0.6402097967388555,1.5315542394433355
0.393,0.12576126532541437,0.6417405228387036,1.529896642741336
0.394,0.1264037705193206,0.6432695873911064,1.5282311463450706
0.395,0.1270478039437158,0.6447969825017528,1.5265577610265488
0.396,0.1276933639252155,0.6463227002871199,1.5248764975901747
0.397,0.12834044878255718,0.6478467328745058,1.5231873668726874
0.398,0.12898905682661105,0.649369072402061,1.521490379743105
0.399,0.12963918636039085,0.6508897110188214,1.5197855471026678
0.4,0.13029083567906488,0.6524086408847403,1.5180728798847785
0.401,0.1309440030699668,0.6539258541707201,1.5163523890549482
0.402,0.13159868681260675,0.6554413430586451,1.5146240856107365
0.403,0.13225488517868217,0.656955099741413,1.5128879805816937
0.404,0.13291259643208897,0.6584671164229671,1.511144085029302
0.405,0.13357181882893251,0.659977385318328,1.5093924100469212
0.406,0.13423255061753875,0.6614858986536256,1.5076329667597261
0.40700000000000003,0.1348947900384653,0.6629926486661312,1.5058657663246504
0.40800000000000003,0.13555853532451267,0.6644976276042883,1.5040908199303278
0.40900000000000003,0.13622378470073543,0.6660008277277453,1.5023081387970327
0.41000000000000003,0.13689053638445337,0.6675022413073864,1.5005177341766245
0.41100000000000003,0.1375587885852628,0.6690018606253637,1.4987196173524844
0.41200000000000003,0.13822853950504782,0.6704996779751282,1.4969137996394597
0.41300000000000003,0.1388997873379917,0.6719956856614615,1.4951002923838024
0.41400000000000003,0.1395725302705881,0.6734898760005072,1.4932791069631128
0.41500000000000004,0.1402467664816526,0.6749822413198021,1.4914502547862785
0.41600000000000004,0.14092249414233393,0.6764727739583075,1.4896137472934132
0.417,0.14159971141612557,0.6779614662664404,1.4877695959558015
0.418,0.14227841645887712,0.6794483106061047,1.4859178122758352
0.419,0.1429586074188059,0.6809332993507221,1.4840584077869559
0.42,0.14364028243650834,0.6824164248852634,1.4821913940535931
